record_id,Date,Line items,Order Shipping,Payment Method,Stripe Fee,Status,Billing Country,Paid Date,Shipping City,Shipping Country,Total (EUR),Order Total (EUR),Subtotal (EUR),Free Shipping,Shipping Method,Billing Full Name
10385,2022-11-22 18:30:49,"Product: Coral Wine Dark Side Ivančić Griffin Wine 0,75L X 1 = €148.00. Product: Coral Wine Moraia X 1 = €67.50. Product: Coral Wine Rosso di Montalcino X 1 = €92.80. ",26.8,PayPal,,wc-completed,PL,2022-11-22 18:30:52,Poznan,PL,335.1,335.1,308.3,True,Europe 2,Ronald Hebert
10383,2022-11-22 11:17:10,Product: Coral Wine Moraia X 1 = €67.50. ,3.2,PayPal,,wc-completed,HR,2022-11-22 11:17:13,Zadar,HR,70.7,70.7,67.5,True,Croatia,Shannon Fletcher
10254,2022-11-19 15:31:50,"Product: Malvazija Deklić Wine 0,75L X 12 = €110.40. ",24.0,PayPal,,wc-completed,DE,2022-11-19 15:31:53,Bad Iburg,DE,134.4,134.4,110.4,False,Europe 1,Mary Scott
10244,2022-11-14 10:26:13,Product: London Dry Gin + Barrel Aged Gin Gift Pack X 1 = €151.00. ,19.47,PayPal,,wc-completed,DE,2022-11-14 10:26:16,Mertloch,DE,170.47,170.47,151.0,False,Europe 1,Daniel Cruz
10189,2022-11-12 15:39:01,Product: Aura Teranino - 200ml X 21 = €224.70. Product: - Volume: 200ml. Product: Aura Teranino - 700ml (#38859892613365) X 2 = €46.70. Product: - Volume: 700ml. ,29.07,Stripe Safe Card,4.46,wc-completed,NL,2022-11-12 15:39:44,Den Haag,NL,300.47,300.47,271.4,True,Europe 2,David Watson
10188,2022-11-10 09:35:38,"Product: Saint Hills Dingač Wine 0,75L X 1 = €39.00. Product: Saint Hills Frenchie Wine 0,75L X 1 = €20.60. Product: Saint Hills Nevina Wine 0,75L X 1 = €13.40. ",26.8,Stripe Safe Card,1.65,wc-completed,IT,2022-11-10 09:35:43,Bareggio,IT,99.8,99.8,73.0,False,Europe 2,John Anderson
10186,2022-11-09 09:56:54,Product: Aura Teranino - 700ml (#38859892613365) X 2 = €46.70. Product: - Volume: 700ml. ,19.47,Stripe Safe Card,2.17,wc-completed,HU,2022-11-09 09:56:59,Budapest,HU,66.17,66.17,46.7,False,Europe 1,David Gonzalez
10176,2022-11-05 19:43:47,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €23.35. Product: - Volume: 700ml. ,25.47,Stripe Safe Card,0.93,wc-completed,PL,2022-11-05 19:43:51,Sosnowiec,PL,48.82,48.82,23.35,False,Europe 2,James Buchanan
10156,2022-11-01 19:56:43,Product: Old Pilots London Dry Gin Gift Pack X 1 = €99.00. ,25.47,Stripe Safe Card,1.99,wc-completed,NL,2022-11-01 19:56:48,Tienray,NL,124.47,124.47,99.0,False,Europe 2,Connie Williams
10154,2022-10-28 00:20:55,"Product: Matuško Dingač Superior Wine 0,75L X 1 = €157.33. ",25.47,PayPal,,wc-completed,NL,2022-10-28 00:20:58,Rotterdam,NL,182.8,182.8,157.33,False,Europe 2,James Rangel
10127,2022-10-26 10:40:21,Product: Karbun Dry Gin Aura - 750ml X 2 = €72.00. Product: - Volume: 750ml. Product: Karbun Navy Strength Gin Aura X 1 = €50.66. Product: Aura Šljiva - 700ml X 6 = €140.10. Product: - Volume: 700ml. Product: Aura Moscato - 700ml X 2 = €46.70. Product: - Volume: 700ml. ,0.0,PayPal,,wc-completed,DE,2022-10-26 10:40:25,Flensburg,DE,309.46,309.46,309.46,True,Free shipping,James White
10083,2022-10-21 16:06:12,"Product: Malvazija Deklić Wine 0,75L X 10 = €92.00. ",24.0,PayPal,,wc-completed,DE,2022-10-21 16:06:15,Berlin,DE,116.0,116.0,92.0,False,Europe 1,Kelly Liu
10082,2022-10-21 15:28:10,Product: Old Pilot's Gin X 2 = €96.00. ,26.8,PayPal,,wc-completed,NL,2022-10-21 15:28:13,Barchem,NL,122.8,122.8,96.0,False,Europe 2,James Sutton
10081,2022-10-17 14:04:35,Product: Edelweisser Gin X 2 = €79.72. ,20.8,PayPal,,wc-completed,DE,2022-10-17 14:04:38,Thum,DE,100.52,100.52,79.72,False,Europe 1,Joseph Estrada
10078,2022-10-15 21:18:55,"Product: Tomaz Sauvignon Blanc Nostro 2021 X 4 = €45.80. Product: Testament Posip Wine 0,75L X 1 = €11.86. Product: Tomaz Malvazija Avangarde 2021 X 1 = €9.74. ",3.2,PayPal,,wc-completed,HR,2022-10-15 21:18:58,Köln,HR,70.6,70.6,67.4,True,Croatia,Anthony Cline
10076,2022-10-15 15:06:20,Product: Olive Oil Bembo Rožinjola X 2 = €37.80. Product: Olive Oil Rozinjola - Oio Vivo X 1 = €14.66. ,25.47,Stripe Safe Card,2.51,wc-completed,IT,2022-10-15 15:06:24,Vicenza,IT,77.93,77.93,52.46,False,Europe 2,Michael Andrews
10072,2022-10-14 23:39:04,"Product: Malvazija Deklić Wine 0,75L X 12 = €110.40. ",30.67,PayPal,,wc-completed,NL,2022-10-14 23:39:08,Heesch,NL,141.07,141.07,110.4,False,Europe 2,Kristen Smith
9934,2022-10-10 16:54:29,Product: Olive Oil Rheos Leccino X 15 = €163.50. Product: Aura Teranino - 700ml (#38859892613365) X 6 = €140.10. Product: - Volume: 700ml. ,0.0,Stripe Safe Card,4.5,wc-completed,PL,2022-10-10 16:55:20,Wrocław,PL,303.6,303.6,303.6,True,Free shipping,Holly Quinn
9933,2022-10-09 19:01:08,Product: Aura Teranino - 700ml (#38859892613365) X 4 = €93.40. Product: - Volume: 700ml. Product: Aura Teranino - 500ml (#3859892613136) X 1 = €20.00. Product: - Volume: 500ml. Product: Aura Teranino - 200ml X 1 = €10.70. Product: - Volume: 200ml. ,20.8,Stripe Safe Card,2.28,wc-completed,HU,2022-10-09 19:01:12,Sarkad,HU,144.9,144.9,124.1,False,Europe 1,Charles Riley
9932,2022-10-09 17:48:31,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €23.35. Product: - Volume: 700ml. Product: Aura Biska Brandy - 700ml X 3 = €70.05. Product: - Volume: 700ml. ,20.8,Stripe Safe Card,1.85,wc-completed,DE,2022-10-09 17:48:35,Altbach,DE,114.2,114.2,93.4,False,Europe 1,Toni Mejia
9931,2022-10-09 15:42:58,Product: Aura Teranino - 700ml (#38859892613365) X 6 = €140.10. Product: - Volume: 700ml. Product: Aura Medenica - 700ml (#3859892613457) X 4 = €93.40. Product: - Volume: 700ml. Product: Aura Medimela - 700ml X 2 = €46.70. Product: - Volume: 700ml. Product: Aura Travarica - 700ml X 1 = €23.35. Product: - Volume: 700ml. ,0.0,Stripe Safe Card,4.36,wc-completed,NL,2022-10-09 15:43:47,Huizen,NL,293.55,293.55,303.55,True,Free shipping,Derek Jones
9922,2022-10-07 15:59:40,"Product: Testament Babić Coral Vino Wine 0,75L X 1 = €105.33. Product: Old Pilot's Gin X 2 = €96.00. ",20.8,Stripe Safe Card,2.94,wc-completed,DE,2022-10-07 15:59:44,Mindelheim,DE,191.93,191.93,201.33,False,Europe 1,Lindsey White
